Height,Weight,Sex
165.65,35.41,0
148.53,74.45,0
167.04,81.22,1
161.54,71.47,1
174.31,78.18,1
143.05,79.27,0
149.16,63.71,0
155.80,86.01,0
145.37,88.33,0
162.56,87.36,1
163.84,78.58,1
172.73,88.08,1
142.03,56.30,0
150.17,53.46,0
188.62,60.95,1
184.62,72.51,1
168.43,86.80,1
171.19,54.12,1
137.10,73.36,0
149.42,69.20,0
147.33,56.01,0
175.14,107.25,1
168.04,92.24,1
158.54,64.44,1
138.90,68.75,0
129.27,58.43,0
173.64,59.52,0
175.26,62.65,1
180.09,44.07,1
144.58,83.36,0
178.76,66.12,1
151.53,91.02,1
168.55,80.20,1
160.86,63.68,1
183.83,62.75,1
179.27,50.04,1
158.89,60.49,1
124.37,74.57,0
140.42,54.64,0
155.06,84.34,1
166.62,75.18,1
172.96,78.39,1
174.34,84.76,1
165.09,83.54,0
138.09,63.06,0
141.31,52.13,0
162.63,65.25,1
178.49,73.67,1
165.95,52.42,1
156.92,54.45,0
135.28,63.91,0
145.79,68.34,0
153.90,77.50,1
171.09,87.80,1
142.89,73.04,0
159.81,61.40,0
130.32,52.81,0
162.79,94.37,1
202.67,110.01,1
171.81,82.74,1
164.36,70.33,1
166.39,43.02,1
135.27,54.87,0
146.80,57.93,0
147.48,73.70,1
161.79,43.37,1
173.46,98.82,1
162.64,63.90,1
185.85,75.22,1
133.58,63.28,0
174.40,80.63,1
169.00,72.22,1
165.70,59.89,1
163.96,78.33,1
179.00,61.11,1
165.85,53.76,0
155.24,80.46,0
159.07,71.68,0
147.64,62.48,0
156.37,86.07,0
168.14,88.04,1
156.84,83.14,1
187.53,78.35,1
190.75,71.14,1
174.11,88.22,1
154.95,73.53,0
175.71,64.29,1
159.27,70.23,0
149.40,63.92,0
181.40,65.29,1
169.60,60.53,1
162.59,111.01,1
177.99,66.00,1
147.03,74.86,0
155.17,56.83,0
158.12,58.54,0
153.50,58.89,0
153.12,76.97,1
161.00,72.74,1
175.14,78.87,1
154.30,80.71,0
150.76,81.39,0
189.32,102.21,1
170.51,94.81,1
190.74,76.88,1
146.94,46.75,0
148.43,44.27,0
147.31,64.52,0
141.60,82.94,0
172.54,76.40,1
165.25,71.07,1
183.89,102.83,1
140.75,52.53,0
151.89,75.10,0
139.26,57.12,0
171.68,41.78,0
184.74,63.43,1
159.67,39.85,1
136.21,60.32,0
143.93,46.96,0
176.67,75.08,1
163.07,81.95,1
140.94,61.15,0
138.44,72.88,0
137.87,66.45,0
161.59,48.10,0
143.24,56.04,0
153.84,81.33,1
175.94,67.79,1
170.48,89.69,1
182.99,52.70,1
151.80,57.08,1
171.97,50.98,0
159.09,61.95,0
153.81,86.79,1
163.31,59.42,1
168.75,108.43,1
158.80,36.87,1
176.33,91.30,1
164.22,94.48,1
179.14,83.67,1
154.26,81.67,1
153.82,58.05,0
156.08,39.52,0
157.08,39.56,0
154.24,65.25,0
161.01,57.95,1
145.98,62.41,0
149.75,65.69,0
131.10,48.25,0
153.05,45.56,0
172.37,97.62,0
146.16,55.88,0
155.30,69.28,0
161.26,59.20,0
184.60,79.95,1
174.70,91.61,1
152.33,65.35,1
140.53,68.34,0
151.09,72.36,0
183.01,62.01,1
181.12,75.36,1
169.18,46.52,1
187.52,75.56,1
148.51,60.02,0
169.08,80.27,0
110.81,80.53,0
141.09,37.78,0
157.80,52.59,0
132.22,74.22,0
182.56,41.93,0
169.11,65.72,1
158.21,63.66,1
172.73,93.31,1
177.50,64.77,1
158.79,68.02,0
152.65,69.14,0
185.58,64.29,1
146.41,75.92,0
160.85,58.64,0
153.66,59.28,0
126.92,66.71,0
163.05,53.67,1
184.15,59.24,1
146.01,54.24,0
156.50,54.68,0
187.96,64.63,1
155.18,67.45,0
143.41,65.98,0
179.58,87.84,1
184.00,62.46,1
186.31,67.29,1
185.85,80.42,1
170.72,58.94,1
140.86,58.80,0
140.30,55.31,0
143.47,58.03,0
146.13,58.46,1
173.27,92.95,1
158.03,71.42,0
159.95,57.91,1
169.88,97.47,1
152.08,77.75,1
178.00,76.26,1
142.37,57.97,0
158.06,61.70,0
171.20,69.52,1
173.91,86.33,1
164.75,73.36,1
131.18,78.22,0
146.41,70.16,0
142.98,49.72,0
154.81,87.17,0
135.19,54.28,0
177.56,58.18,1
